TransactionNumber,UserID,Age,Gender,Occupation,EducationLevel,MaritalStatus,NumDependents,Income,Expenditure,GiftsTransaction,TransactionAmount,TransactionType,TransactionLocation,DeviceType,Terrorism,UserTenure,IsFraud
4462,205,-1,1,0,0,1,2,80021.21,39039.38,5523.28,198.66,3,3,0,0,22,1
15136,1838,40,0,2,2,0,2,112448.56,55611.748,2275.96,13.268,1,2,0,0,68,0
7046,3025,43,1,1,0,0,1,48603.3,30078.57,2804.12,362.58,0,5,0,0,52,0
15759,1639,26,1,2,0,2,1,56790.7,29750.92,1879.51,417.632,3,4,1,0,8,1
15629,1131,35,0,0,3,3,3,72725.88,56981.976,5417.49,765.932,0,6,0,0,92,0
1793,2978,53,1,2,2,1,3,57004.46,20461.87,4953.28,573.81,1,5,0,0,55,0
1692,548,29,0,2,0,0,2,30510.67,9854.51,2600.08,130.78,1,4,0,0,61,0
8632,1117,27,1,2,1,2,3,92112.83,70062.72,7487.08,175.78,1,6,0,0,92,0
5430,4343,35,1,2,1,1,4,32736.66,19165.33,2582.5,378.8,1,4,0,0,24,0
11521,2563,35,1,0,0,1,2,69667.7,46004.0,14146.16,368.75,0,0,0,0,59,1
493,1145,43,0,2,1,3,1,183749.38,144467.1,4971.04,101.64,1,3,0,0,28,0
11628,514,34,1,2,0,0,0,53924.18,17504.94,9200.48,796.23,1,1,1,0,81,0
4253,1071,44,1,3,0,1,1,34785.24,26800.42,9300.3,332.25,1,1,0,1,68,0
13128,2303,26,1,3,2,0,1,138804.27,70992.28,11425.74,100.12,2,0,2,0,36,0
14470,244,44,1,0,0,1,2,40395.6,32224.49,2072.94,30.26,1,1,1,1,6,0
1463,1682,33,1,2,0,0,3,51150.96,21483.6,4101.38,469.03,1,7,0,1,3,0
13866,536,-1,1,2,0,1,1,156147.73,50988.31,1642.18,194.7,1,0,0,0,52,0
11256,2856,38,0,2,1,1,1,44345.81,13965.6,36.42,692.53,3,2,1,0,112,1
11248,4267,24,1,0,1,1,1,128661.48,57467.0,7317.78,64.39,2,6,2,0,11,1
7831,3800,47,0,2,0,1,4,71815.71,37729.96,11626.54,603.84,3,7,0,0,19,1
14084,778,34,1,0,0,1,2,77998.78,57689.04,2899.1,287.38,3,6,1,1,64,1
14155,3123,33,1,2,0,1,3,54910.78,23014.21,2054.72,248.25,1,1,1,1,62,0
14073,620,37,0,1,0,0,1,138550.41,79990.08,4428.54,3.98,3,1,1,0,105,1
2287,307,31,1,2,0,1,3,25062.03,13213.16,1672.24,54.14,1,7,0,0,71,1
17304,873,44,0,2,0,3,3,35631.99,11177.252,10919.03,15.02,0,5,0,0,88,0
11630,3567,48,1,2,1,1,3,124930.64,50236.33,5902.18,356.26,2,0,0,0,58,0
8696,630,34,1,2,0,0,2,33147.62,17387.2,3397.3,261.17,2,2,0,0,118,0
965,4831,28,0,2,0,1,3,67826.46,26706.2,20375.98,11.37,1,3,0,0,73,1
444,1813,18,0,2,0,1,0,42262.54,25487.01,7080.68,3138.62,2,6,0,0,1,1
9938,100,18,1,3,1,0,3,53376.26,35148.54,34.94,193.01,1,4,0,0,117,0
6348,2703,19,1,2,1,0,0,33945.55,22299.88,3079.44,99.08,0,6,1,0,32,0
10714,1605,49,0,0,0,0,4,72857.65,45549.01,10926.98,173.33,1,3,0,0,51,0
6674,2178,34,1,0,1,1,2,48259.54,23273.78,1012.64,326.57,1,1,0,0,43,0
438,2042,36,0,0,2,0,3,65986.34,39396.63,13100.74,950.76,2,5,0,0,33,0
7821,1054,27,1,1,2,2,4,73110.26,33051.85,7054.06,807.58,1,5,0,0,47,0
11368,4621,36,0,2,1,0,3,78277.17,23843.38,792.96,220.4,1,5,0,1,110,0
13551,3337,51,1,0,3,0,4,59894.19,47913.54,1292.32,534.18,3,7,1,1,44,1
17189,1454,27,1,2,1,1,1,36151.65,21535.404,3617.7,1739.868,2,7,1,0,33,0
5740,3666,61,1,2,0,0,2,119230.48,44520.03,16068.08,201.03,1,1,0,1,32,0
1494,950,52,1,2,1,1,2,76724.76,42300.82,11578.66,130.12,1,5,0,0,24,0
9515,1794,43,0,0,0,1,4,71753.44,51918.74,4529.9,30.14,2,0,1,0,64,1
17679,2883,43,0,1,2,0,3,72020.18,46526.408,11415.85,74.864,3,0,1,1,93,1
5261,987,-1,1,2,1,1,1,49864.6,22072.97,4073.34,256.19,3,6,1,0,81,1
467,4984,23,1,2,2,0,2,53806.55,23402.54,830.72,102.87,0,1,0,0,35,0
13796,3798,33,1,0,0,0,1,94374.04,43303.66,1635.02,430.47,3,7,1,1,118,1
3751,4723,36,0,2,1,1,4,48425.06,32665.25,4463.74,161.44,1,3,0,0,117,0
14399,3250,52,1,2,1,0,2,55666.31,29339.16,1650.1,47.88,1,6,0,0,33,1
756,3989,28,1,2,1,1,3,73539.45,23824.09,1890.98,1342.2,1,0,0,0,55,0
17384,2057,28,0,2,2,0,0,132714.06,59841.444,27126.77,308.652,2,5,0,0,108,0
7512,4701,46,0,1,1,1,1,84164.8,45706.72,1749.02,27.43,1,0,0,0,27,0
2688,10,32,1,0,1,1,2,73827.19,42587.24,5636.92,219.24,0,6,0,0,3,0
5186,2132,18,0,0,1,0,1,135586.41,91539.67,8765.6,25.93,0,3,0,1,72,1
10206,3882,39,1,1,1,1,0,58818.24,35177.33,5514.66,987.29,1,7,1,0,17,0
8352,3379,32,1,2,0,1,4,23521.53,15858.68,2173.96,136.02,3,5,2,0,65,0
17319,4931,18,1,3,0,0,1,63479.88,41913.252,16523.71,95.008,2,3,0,0,27,0
3958,2344,43,0,2,0,1,4,87174.54,67460.82,4446.86,14.45,1,2,1,0,18,0
915,2334,52,0,2,1,1,3,65600.23,39500.33,77.54,915.19,1,3,1,1,80,1
9742,1078,30,1,2,0,0,0,116632.87,78473.93,14857.72,813.55,0,6,0,0,110,0
4511,418,50,1,2,0,0,0,80923.88,57337.42,3314.26,424.48,1,1,1,0,55,0
1374,2031,30,0,2,0,0,0,26088.42,14988.63,2406.26,607.98,1,2,0,0,34,0
10460,2882,48,1,2,1,1,4,75369.95,30721.58,2331.16,1520.84,1,3,0,0,94,1
11039,1483,50,1,2,0,2,1,62189.18,25646.64,17194.16,5.07,1,7,0,0,48,0
13084,3647,39,0,2,1,0,3,99819.89,37622.12,5962.56,68.38,1,6,2,0,7,1
17712,1211,28,1,1,1,1,1,89020.1,45567.088,1154.15,97.036,0,7,0,0,64,0
12615,4504,51,0,0,1,0,0,96239.76,72885.51,13462.7,1309.29,2,3,0,0,68,0
17071,1465,28,0,2,0,1,1,44196.64,20304.964,2338.85,99.036,1,0,1,0,95,0
14793,2654,31,0,1,0,0,2,72515.21,53558.636,682.91,24.112,2,5,1,0,16,0
6572,4882,41,0,3,1,0,0,39728.73,24247.69,4130.1,193.86,1,0,0,0,66,0
11878,2391,36,1,2,1,0,2,83792.92,29021.67,33273.34,82.89,1,7,1,0,57,0
537,4756,-1,1,2,1,1,1,94556.36,50555.81,12504.32,34.41,1,0,1,0,27,0
10712,1639,-1,1,2,0,2,1,56790.7,29870.4,1917.1,35.7,1,3,0,0,8,0
12397,1389,28,0,0,1,0,4,93565.48,30483.18,5342.02,461.04,2,2,0,0,62,0
5215,2221,36,1,2,0,0,1,100540.85,49337.05,5848.42,90.46,1,7,1,0,52,1
15190,1993,27,1,1,0,1,1,62940.39,24423.644,14279.17,52.18,1,1,0,0,105,0
15038,688,29,1,0,1,0,1,78935.75,26988.076,2038.91,1037.848,0,3,1,0,95,0
16331,3130,34,1,0,0,1,4,78476.8,53541.304,4693.01,165.848,1,1,0,0,49,1
17403,180,35,0,0,1,1,3,124855.28,66873.76,5435.46,1758.772,2,2,0,0,42,0
9808,378,41,1,2,0,1,2,58620.06,39326.07,11008.7,41.78,1,5,0,0,80,0
12590,2315,31,1,2,0,1,1,70090.35,49408.28,21283.76,127.51,1,6,1,0,6,0
2186,4666,29,0,2,2,0,0,70486.11,25187.14,6067.92,122.55,2,5,1,0,26,0
13240,1955,44,2,0,1,1,2,40968.3,25277.64,4486.16,274.39,2,1,0,0,112,0
16323,4361,44,0,2,1,0,1,72238.44,48609.352,6813.78,31.392,0,1,1,0,107,0
8606,2625,26,0,0,1,1,3,71740.1,42957.44,15682.98,220.49,3,0,0,1,28,1
12959,4363,19,1,3,2,0,3,78880.96,24369.88,16639.32,368.49,3,5,1,0,103,0
11545,103,21,1,0,0,0,3,57384.51,40721.71,21639.04,79.65,3,5,0,0,99,1
1432,4635,42,0,0,3,1,2,30528.11,22169.73,220.12,700.18,3,5,0,0,98,1
17484,2033,41,0,0,0,1,2,50601.21,22016.928,5835.35,1082.804,1,0,0,1,94,0
16421,3070,19,1,2,1,1,4,62759.76,37163.16,4600.29,155.784,0,6,1,0,85,0
12305,1285,18,1,2,1,1,2,111914.84,46861.04,5652.26,158.04,1,0,0,1,109,0
2752,1267,55,0,2,2,3,4,34128.07,22746.13,2602.28,826.44,1,7,0,1,117,0
6270,4418,39,2,2,1,0,1,37967.02,16299.74,1272.76,180.26,1,2,0,1,65,0
332,2819,34,0,2,1,1,3,76955.0,23468.76,902.36,22.93,3,5,0,0,61,0
3030,115,-1,1,3,0,0,0,86292.53,52375.69,2722.32,323.21,2,6,0,0,105,0
2102,3787,27,1,0,1,0,3,121552.99,55573.07,5794.4,221.72,2,2,1,0,18,0
1362,3125,23,0,0,0,0,0,70276.22,24424.34,5492.46,316.6,0,5,1,0,88,0
306,3533,43,0,2,0,1,1,85854.75,42984.6,4259.12,100.0,1,6,1,0,111,0
14302,4352,35,1,2,0,0,0,84687.96,32395.98,9107.96,170.52,3,5,1,0,8,0
7145,1335,36,1,2,0,1,4,77443.2,40882.0,14398.08,245.95,3,4,0,0,6,1
7330,81,34,1,2,2,0,3,83358.57,34649.64,7922.9,419.68,1,2,0,0,113,0
3891,1114,21,2,3,0,1,4,69271.9,24202.02,10007.84,502.42,1,5,2,1,63,0
5652,1904,47,2,0,0,0,0,52655.75,29975.19,7396.84,690.98,3,6,0,0,18,1
10402,4164,33,1,2,0,1,1,75243.95,46274.25,6112.42,173.13,2,3,0,0,69,0
1995,2250,47,1,2,0,1,4,81153.05,36558.46,669.68,50.89,1,2,0,0,65,0
2952,816,18,1,1,1,0,3,92306.98,62523.62,14099.38,39.92,0,3,0,0,13,0
14806,2234,50,1,2,0,1,2,85506.26,32201.14,13238.42,750.18,1,4,1,0,54,0
9881,3369,36,0,0,0,1,2,84724.52,38765.95,5012.62,742.24,3,3,2,0,99,1
17147,1717,36,0,2,2,1,1,70965.18,50408.956,5919.06,19.112,1,6,0,0,94,0
5403,2764,36,1,2,0,0,0,18302.79,6206.25,1807.6,459.45,1,5,1,1,103,0
10599,2070,43,0,0,3,0,4,55775.04,44355.3,10959.72,349.52,2,2,0,0,109,1
8364,4941,42,0,2,0,3,0,78348.5,56512.61,43.22,155.76,1,7,1,1,118,0
5292,1969,50,1,1,0,1,4,45967.53,34216.26,8719.44,140.89,2,0,1,0,59,0
15100,2021,33,1,2,0,1,2,37902.13,12644.896,3230.51,1070.832,1,1,0,0,67,1
17667,1731,38,1,1,1,1,1,48351.05,38198.94,4938.79,71.316,1,5,0,0,78,0
16982,361,50,1,2,3,1,1,129013.48,83396.912,34562.55,65.316,3,1,0,1,112,1
7408,434,32,0,3,0,1,4,55167.16,18380.59,5733.12,131.4,0,4,0,1,67,0
4925,2107,37,2,2,0,2,0,126661.66,85538.59,20988.46,689.27,1,6,0,1,58,0
9815,188,34,0,1,1,1,1,82038.5,47070.12,8512.04,37.94,1,2,0,1,16,1
6244,159,30,1,1,0,1,2,126075.79,51439.85,18013.84,16.81,2,6,2,1,32,0
18031,3726,49,0,3,1,3,4,44867.26,18271.592,3410.14,87.76,1,4,1,0,112,0
8513,4354,32,1,0,0,0,4,83709.16,64429.76,7150.28,32.79,2,3,0,1,32,0
8310,2317,24,1,0,2,1,1,92493.99,52814.29,1696.28,4.69,2,6,0,0,56,1
16981,2702,39,0,0,0,0,2,35203.77,25372.832,1447.14,18.088,2,7,0,0,45,0
2447,4505,45,1,3,1,1,4,84475.87,64293.0,6955.96,165.76,1,7,0,1,19,0
16079,1614,28,0,0,1,0,2,37937.14,23570.24,2537.63,3949.872,0,7,2,1,85,1
3573,4234,-1,1,1,0,1,4,98214.94,53090.28,27809.6,37.62,1,6,1,1,27,0
11773,2275,-1,0,1,2,0,0,30892.63,19831.98,1744.12,136.02,3,0,1,1,113,1
10470,3527,30,1,2,1,2,1,30512.07,10875.43,919.16,96.17,1,5,2,0,52,0
15731,2295,31,1,2,3,1,2,60395.1,46703.564,1084.33,21.44,1,0,0,1,62,0
1115,4032,39,1,2,1,0,1,42220.02,17591.27,4780.7,486.79,0,5,0,1,85,0
12024,1839,38,1,0,1,1,0,115290.86,57400.69,2597.88,272.34,2,5,0,0,68,0
16159,3083,35,0,2,0,0,1,24716.72,13298.584,6300.48,95.36,3,4,1,0,89,1
12445,408,49,1,2,1,2,0,147097.61,96066.53,7499.9,69.69,1,3,0,0,59,1
3466,2908,-1,0,2,2,1,0,48514.74,18615.11,444.44,86.47,1,1,0,0,80,1
5145,3871,25,0,2,0,0,2,33628.78,19020.93,3059.42,63.93,0,5,1,0,76,0
8079,2719,33,1,2,1,1,1,34311.88,18472.76,284.24,1415.18,3,4,1,0,27,1
13048,3125,23,0,0,0,0,0,70276.22,24424.34,5492.46,447.04,1,6,0,0,88,1
4339,698,35,1,0,0,3,4,55141.54,43092.51,11218.32,252.29,1,3,0,0,107,1
10205,728,21,2,0,0,0,2,87555.74,35503.36,5181.4,716.38,1,6,2,0,29,0
8813,4921,28,0,0,0,0,2,123034.58,53862.68,17707.78,12.67,1,1,0,0,58,1
7061,4004,31,1,2,1,1,2,118837.87,35695.35,23539.32,136.69,3,7,2,1,62,1
13289,54,26,0,2,1,0,3,37147.68,22553.66,975.44,60.8,1,5,1,1,76,0
10950,2398,34,1,2,2,0,0,46932.04,27346.78,2096.56,155.09,3,4,2,0,116,1
7388,3290,35,1,2,1,1,3,38806.94,14110.38,2229.72,202.0,1,2,2,0,71,0
12353,3240,40,0,1,1,2,4,40833.58,24272.77,3205.24,418.76,2,5,1,0,86,0
5070,2914,34,1,0,1,1,4,56727.2,29659.41,11337.18,2.5,1,3,0,1,4,1
5825,4545,35,0,2,1,0,1,66317.82,43324.6,6500.5,160.63,1,0,1,1,75,1
9357,1791,34,1,1,1,1,1,81400.22,57117.17,2066.86,546.57,2,6,1,0,88,1
10778,2464,47,2,3,0,0,4,39071.11,28667.78,2763.74,101.99,1,7,1,0,71,0
11772,3726,49,0,3,1,3,4,44867.26,18344.97,3478.34,82.57,1,2,0,0,112,0
15612,804,39,1,0,1,3,3,76706.38,59231.632,12999.3,521.792,0,5,0,0,67,0
9443,420,28,0,0,1,0,2,77734.81,37710.48,7652.78,50.81,1,3,1,1,97,0
15804,574,51,1,2,1,0,3,86809.84,65747.436,4971.95,52.468,3,2,1,0,77,1
10389,3512,18,0,2,1,1,0,155199.89,122061.63,12980.2,231.05,2,0,1,1,25,0
5383,2515,18,0,2,1,0,3,78632.75,55730.7,3200.1,14.42,1,5,0,0,57,0
6769,4976,27,1,3,0,0,1,67484.59,29461.69,1515.34,336.78,1,5,0,0,6,0
134,630,-1,1,2,0,0,2,33147.62,17387.2,3397.3,177.34,1,7,0,0,118,0
10931,2898,18,0,0,1,1,1,49711.46,23490.62,3664.96,31.36,3,5,0,0,63,0
10924,4922,46,0,2,0,0,2,72968.32,22114.52,3665.94,21.21,0,6,0,0,99,0
12821,3832,47,0,0,0,2,3,66370.25,38464.21,11648.8,290.27,2,7,2,0,95,0
7025,4406,30,1,0,0,0,0,43450.97,17077.37,124.76,52.72,0,6,0,0,113,1
18219,3951,33,0,2,2,1,3,142732.26,111641.004,712.07,1091.232,1,7,0,1,18,1
8687,3167,25,0,2,3,0,0,49041.99,20668.03,3254.42,61.99,3,4,1,0,1,1
799,3208,41,0,2,0,0,2,70010.13,25398.23,525.32,596.79,1,6,1,1,74,0
17032,2454,43,0,2,0,2,3,37524.19,15506.236,2855.98,114.772,1,3,0,0,11,0
9995,3193,40,1,2,1,0,0,44663.69,31313.63,2316.74,94.2,1,3,1,1,48,0
6840,3624,38,1,2,1,0,4,134449.36,43085.52,3164.22,21.45,1,1,0,0,9,0
427,2815,37,0,2,3,0,4,68299.23,41420.19,3131.24,57.07,2,6,0,1,89,0
12884,2685,26,1,3,0,1,2,148736.96,91469.96,9805.6,2982.0,1,5,0,0,83,0
14409,1534,36,1,2,1,0,1,72788.07,43542.64,279.78,272.64,3,6,0,0,98,1
4687,3611,31,1,2,0,1,3,41703.3,20734.79,497.2,43.22,3,7,1,0,17,1
10497,3399,43,1,2,0,0,3,43879.48,24587.08,1867.58,93.74,0,0,2,0,117,0
16572,3206,28,1,2,2,2,3,59359.54,41686.464,5707.33,315.848,2,3,0,0,89,0
16465,1426,42,1,0,1,0,3,62223.32,25479.524,5248.79,89.92,0,4,0,1,74,0
2538,4498,-1,0,3,0,0,3,80648.58,51252.91,13176.14,23.77,3,5,0,0,66,1
5992,3656,40,1,2,1,0,0,94175.9,62421.37,19045.74,1178.79,3,7,0,1,34,1
1255,4339,27,0,3,1,3,4,65812.38,30602.7,9251.62,66.18,2,6,1,1,100,0
7628,895,34,0,2,0,1,2,72817.53,22648.41,4911.32,452.4,1,3,0,0,57,0
11604,2547,-1,1,2,0,1,0,69847.69,44175.96,5388.3,390.83,3,0,0,0,105,1
9270,4244,41,1,3,3,0,2,54991.51,28143.28,312.98,46.56,2,6,1,1,81,0
4801,4091,32,1,2,1,1,3,82432.87,28011.28,2335.32,102.75,2,6,0,1,6,0
2724,2046,18,1,2,1,3,0,49656.17,24097.86,4097.02,323.6,3,7,1,1,50,1
9445,1077,26,1,2,0,2,4,53713.03,21018.15,5822.14,3.59,1,3,1,0,3,1
13327,3497,38,1,2,3,1,1,28398.64,11950.88,549.94,313.14,0,7,1,1,113,0
3131,2845,43,0,0,2,1,1,64023.61,39554.8,10496.06,33.01,1,1,0,1,19,0
17114,415,18,1,0,3,1,0,52004.75,23936.388,1375.62,350.436,1,5,0,1,102,0
1926,2713,42,1,2,0,1,0,85001.7,38542.94,7418.58,76.96,2,2,0,0,19,0
14675,638,33,1,0,1,1,3,22892.43,14817.012,239.41,910.452,1,5,1,1,6,0
16650,3657,21,1,2,2,0,4,75326.97,36963.712,28203.82,1690.212,2,4,0,0,93,0
3037,638,33,1,0,1,1,3,22892.43,14876.52,244.2,830.43,2,0,0,1,6,0
7336,4690,50,0,2,2,1,0,22624.83,9074.02,3485.04,106.57,1,5,0,0,111,0
9188,3176,42,1,0,1,1,2,126365.89,86882.4,11073.5,119.33,1,4,0,0,36,0
14492,3120,31,0,2,1,1,0,78564.55,24115.93,10446.14,5.46,3,5,0,0,18,1
12186,3037,47,0,0,0,1,4,71163.21,22024.05,698.22,169.44,1,0,1,0,98,0
10002,1771,30,1,2,0,1,1,50266.76,32382.56,7187.32,531.9,1,6,1,0,110,1
4021,4556,18,2,0,0,1,0,65880.62,23675.51,4564.64,52.33,3,6,1,1,57,1
10871,625,29,1,3,0,0,0,42725.6,13898.0,5960.9,147.75,1,3,1,0,42,0
14455,541,41,1,1,1,1,1,142410.8,98661.76,5757.04,64.15,3,4,0,0,50,1
16261,1837,35,0,0,0,1,4,135681.67,42708.568,11786.05,302.968,1,7,0,0,60,0
14530,3818,50,1,2,2,1,0,52861.26,36848.91,4482.28,267.21,1,7,0,1,90,0
17908,1799,40,1,0,1,2,0,54326.22,19286.932,2054.9,401.424,2,3,1,0,99,0
7603,38,30,0,0,0,1,4,47201.66,28568.71,4647.24,287.86,2,1,1,0,45,0
5674,4372,48,1,0,0,0,0,51253.97,25582.23,6044.64,1416.71,3,7,0,0,94,1
3746,2043,35,1,2,0,1,3,59624.27,37750.34,4489.76,2012.38,1,7,0,1,9,0
17852,3095,36,1,2,0,0,2,110477.64,34069.196,4608.63,512.148,3,0,0,1,17,1
5369,250,29,0,0,1,0,2,78912.87,61658.55,7189.78,167.53,3,7,1,0,65,1
5922,2571,28,1,3,0,1,0,60279.13,29749.84,2658.74,223.86,1,1,1,0,32,0
13590,759,40,1,2,3,2,0,81023.4,33770.66,5222.86,211.87,1,6,1,0,47,0
16120,997,37,1,0,1,1,2,34468.59,22334.464,6969.65,988.964,3,1,0,1,86,1
8466,4657,40,2,2,0,0,4,167640.42,93350.83,7920.82,218.7,2,1,0,1,100,0
14583,2988,31,1,2,1,1,3,92387.1,41342.39,7294.88,161.6,1,5,0,1,20,0
13836,2179,41,0,3,0,1,4,107908.66,85578.77,21900.72,167.82,1,6,0,0,7,0
8066,1275,31,0,2,1,1,3,70142.41,51897.62,6923.28,320.45,2,2,0,0,4,0
3157,52,-1,0,2,0,0,2,120349.53,51439.73,18907.72,145.41,3,1,1,0,89,1
6884,1325,42,1,1,2,0,1,91893.74,62500.38,8875.36,206.68,3,2,1,1,32,1
6018,2507,37,1,0,1,2,2,52907.05,27076.92,8064.24,439.12,1,7,0,0,1,0
4096,3751,37,0,0,0,0,3,83756.5,28941.78,7044.42,47.29,2,3,1,1,22,1
7342,640,54,1,0,1,0,0,143288.17,88129.32,7602.18,32.82,0,0,0,0,11,1
9159,3703,35,1,0,3,1,1,64157.8,44413.07,629.6,487.34,2,7,0,0,25,0
15578,4598,31,0,2,1,1,0,67766.34,22548.604,2910.8,469.7,1,5,0,0,78,0
8341,80,49,1,2,1,0,1,41909.17,32726.96,14305.82,8.47,3,3,0,0,51,1
17344,3397,36,1,0,1,1,2,45303.17,32947.124,1867.44,526.82,2,7,1,0,88,1
13707,1550,33,1,2,1,1,1,41599.35,21216.66,2709.92,8.27,1,1,0,1,58,1
15076,940,45,0,2,1,3,2,36811.07,29159.104,3319.6,97.248,1,6,0,0,46,0
6739,2323,25,1,0,2,1,4,75139.57,49989.51,1051.0,21.28,1,7,0,0,75,0
16585,2834,28,1,2,3,1,0,127308.03,38532.26,5374.89,5.868,2,0,0,0,101,0
3503,2213,23,0,0,0,1,2,122842.19,56399.6,11279.48,220.89,3,1,1,0,67,1
15040,1324,50,0,2,0,0,2,82256.14,63932.86,16281.6,202.84,1,4,1,0,106,0
12539,3486,24,0,2,0,0,4,132430.5,104427.32,17966.34,103.16,1,6,1,0,6,1
14634,2511,20,0,1,0,1,1,106121.79,58067.556,5348.16,49.928,1,0,0,0,22,0
9361,2942,43,0,3,0,0,3,37680.28,26150.08,231.18,303.28,1,0,1,0,32,0
7931,3589,45,0,0,1,0,4,46713.95,15562.28,1588.62,973.42,2,1,0,1,105,1
2314,2981,26,1,0,1,1,2,60259.28,35288.96,1628.6,72.28,1,1,1,0,44,0
18025,1785,45,0,2,0,0,3,62428.15,43576.832,1636.24,75.148,0,2,1,0,10,0
17794,1543,30,1,2,0,0,1,36463.04,17583.216,3452.01,32.868,3,5,0,1,9,0
8821,2039,29,0,0,0,0,2,54868.48,32833.71,2657.76,429.15,1,7,0,1,31,0
2018,475,45,0,2,1,1,4,142154.09,111976.4,6314.68,102.86,1,4,0,0,41,0
7412,4133,27,0,0,1,1,2,94386.7,56485.05,158.2,1040.9,2,1,0,0,95,0
17325,3801,43,0,0,1,0,1,91733.22,68150.972,23669.51,67.02,0,0,0,1,88,0
9025,3354,26,0,2,1,2,1,129944.82,99567.19,1609.48,179.29,2,5,0,0,77,0
8952,4621,36,0,2,1,0,3,78277.17,23843.38,792.96,179.43,2,2,0,1,110,0
13375,2567,46,0,2,0,2,0,139466.38,48731.6,13016.56,158.37,1,2,0,0,101,0
