TransactionNumber,UserID,Age,Gender,Occupation,EducationLevel,MaritalStatus,NumDependents,MerchantID,TransactionType,TransactionLocation,DeviceType,Latitude,Longitude,Terrorism,UserTenure,txn_month,txn_day,email_domain,Income_y,Expenditure_y,GiftsTransaction_y,IsFraud
13655,2273,40,0,1,1,3,4,5,3,5,0,-31.840233,145.612793,1,35,12,8,4,119498.91,57677.54,19409.32,0
7724,2955,-1,2,1,1,3,4,3,2,6,0,-31.840233,145.612793,0,78,12,20,1,105727.69,82090.6,8606.42,1
642,3609,48,1,0,0,3,4,7,0,2,1,-30.000233,136.209152,1,47,1,8,2,40163.34,30880.64,3019.98,0
549,4714,40,0,1,1,2,2,3,3,2,0,-31.840233,145.612793,1,65,3,19,5,69175.91,33882.72,13676.38,1
4462,205,-1,0,1,0,3,2,1,2,1,0,-37.0201,144.9646,1,22,9,16,5,80021.21,39039.38,5523.28,1
15136,1838,40,1,3,2,2,2,4,3,0,0,-31.840233,145.612793,1,68,10,7,4,112448.56,55611.748,2275.96,0
7046,3025,-1,0,0,0,2,1,3,1,3,0,-20.917574,142.702789,1,52,3,18,4,48603.3,30078.57,2804.12,0
15759,1639,26,0,3,0,0,1,4,2,4,1,-41.640079,146.315918,1,8,11,17,2,56790.7,29750.92,1879.51,1
15629,1131,35,1,1,3,1,3,6,1,7,0,-37.0201,144.9646,1,92,12,30,2,72725.88,56981.976,5417.49,0
1793,2978,53,0,3,2,3,3,3,3,3,0,-31.840233,145.612793,1,55,12,28,0,57004.46,20461.87,4953.28,0
1692,548,-1,1,3,0,2,2,3,3,4,0,-37.0201,144.9646,1,61,10,4,5,30510.67,9854.51,2600.08,0
8632,1117,27,0,3,1,0,3,4,3,7,0,-37.0201,144.9646,1,92,6,1,4,92112.83,70062.72,7487.08,0
5430,4343,35,0,3,1,3,4,6,3,4,0,-25.042261,117.793221,1,24,7,4,2,32736.66,19165.33,2582.5,0
11521,2563,35,0,1,0,3,2,5,1,2,0,-31.840233,145.612793,1,59,12,8,2,69667.7,46004.0,14146.16,1
493,1145,43,1,3,1,1,1,3,3,1,0,-20.917574,142.702789,1,28,1,27,1,183749.38,144467.1,4971.04,0
11628,514,34,0,3,0,2,0,0,3,6,1,-25.042261,117.793221,1,81,8,20,4,53924.18,17504.94,9200.48,0
4253,1071,44,0,2,0,3,1,5,3,6,0,-20.917574,142.702789,0,68,9,4,2,34785.24,26800.42,9300.3,0
13128,2303,26,0,2,2,2,1,4,0,2,2,-37.0201,144.9646,1,36,6,9,5,138804.27,70992.28,11425.74,0
14470,244,44,0,1,0,3,2,7,3,6,1,-25.042261,117.793221,0,6,12,30,0,40395.6,32224.49,2072.94,0
1463,1682,33,0,3,0,2,3,0,3,5,0,-20.917574,142.702789,0,3,7,24,1,51150.96,21483.6,4101.38,0
13866,536,-1,0,3,0,3,1,1,3,2,0,-37.0201,144.9646,1,52,10,14,0,156147.73,50988.31,1642.18,0
11256,2856,38,1,3,1,3,1,7,2,0,1,40.43026,50.03598,1,112,7,11,4,44345.81,13965.6,36.42,1
11248,4267,24,0,1,1,3,1,2,0,7,2,-20.917574,142.702789,1,11,7,2,5,128661.48,57467.0,7317.78,1
7831,3800,-1,1,3,0,3,4,0,2,5,0,-20.917574,142.702789,1,19,4,15,2,71815.71,37729.96,11626.54,1
14084,778,34,0,1,0,3,2,5,2,7,1,-37.0201,144.9646,0,64,10,27,0,77998.78,57689.04,2899.1,1
14155,3123,33,0,3,0,3,3,2,3,6,1,-20.917574,142.702789,0,62,12,29,5,54910.78,23014.21,2054.72,0
14073,620,37,1,0,0,2,1,6,2,6,1,-20.917574,142.702789,1,105,1,30,2,138550.41,79990.08,4428.54,1
2287,307,31,0,3,0,3,3,0,3,5,0,-20.917574,142.702789,1,71,9,20,0,25062.03,13213.16,1672.24,1
17304,873,44,1,3,0,1,3,2,1,3,0,-37.0201,144.9646,1,88,5,29,2,35631.99,11177.252,10919.03,0
11630,3567,48,0,3,1,3,3,1,0,2,0,-20.917574,142.702789,1,58,8,10,0,124930.64,50236.33,5902.18,0
8696,630,34,0,3,0,2,2,4,0,0,0,-25.042261,117.793221,1,118,11,29,4,33147.62,17387.2,3397.3,0
965,4831,28,1,3,0,3,3,6,3,1,0,-37.0201,144.9646,1,73,2,6,2,67826.46,26706.2,20375.98,1
444,1813,18,1,3,0,3,0,2,0,7,0,-31.840233,145.612793,1,1,11,2,4,42262.54,25487.01,7080.68,1
9938,100,18,0,2,1,2,3,7,3,4,0,-20.917574,142.702789,1,117,7,3,5,53376.26,35148.54,34.94,0
6348,2703,19,0,3,1,2,0,7,1,7,1,-31.840233,145.612793,1,32,12,15,4,33945.55,22299.88,3079.44,0
10714,1605,-1,1,1,0,2,4,5,3,1,0,-31.840233,145.612793,1,51,8,4,5,72857.65,45549.01,10926.98,0
6674,2178,34,0,1,1,3,2,7,3,6,0,-20.917574,142.702789,1,43,7,6,5,48259.54,23273.78,1012.64,0
438,2042,36,1,1,2,2,3,6,0,3,0,-31.840233,145.612793,1,33,5,3,2,65986.34,39396.63,13100.74,0
7821,1054,27,0,0,2,0,4,5,3,3,0,-25.042261,117.793221,1,47,5,11,2,73110.26,33051.85,7054.06,0
11368,4621,36,1,3,1,2,3,4,3,3,0,-35.473469,149.012375,0,110,12,17,2,78277.17,23843.38,792.96,0
13551,3337,51,0,1,3,2,4,1,2,5,1,-31.840233,145.612793,0,44,9,18,4,59894.19,47913.54,1292.32,1
17189,1454,27,0,3,1,3,1,6,0,5,1,-37.0201,144.9646,1,33,1,16,0,36151.65,21535.404,3617.7,0
5740,3666,61,0,3,0,2,2,0,3,6,0,-37.0201,144.9646,0,32,6,12,2,119230.48,44520.03,16068.08,0
1494,950,52,0,3,1,3,2,4,3,3,0,-25.042261,117.793221,1,24,9,17,2,76724.76,42300.82,11578.66,0
9515,1794,43,1,1,0,3,4,4,0,2,1,-20.917574,142.702789,1,64,11,18,3,71753.44,51918.74,4529.9,1
17679,2883,43,1,0,2,2,3,4,2,2,1,-31.840233,145.612793,0,93,7,7,2,72020.18,46526.408,11415.85,1
5261,987,-1,0,3,1,3,1,4,2,7,1,-37.0201,144.9646,1,81,5,25,4,49864.6,22072.97,4073.34,1
467,4984,-1,0,3,2,2,2,0,1,6,0,-37.0201,144.9646,1,35,4,18,2,53806.55,23402.54,830.72,0
13796,3798,33,0,1,0,2,1,1,2,5,1,-20.917574,142.702789,0,118,12,26,5,94374.04,43303.66,1635.02,1
3751,4723,36,1,3,1,3,4,3,3,1,0,-35.473469,149.012375,1,117,6,17,2,48425.06,32665.25,4463.74,0
14399,3250,52,0,3,1,2,2,4,3,7,0,-31.840233,145.612793,1,33,11,18,5,55666.31,29339.16,1650.1,1
756,3989,28,0,3,1,3,3,0,3,2,0,-37.0201,144.9646,1,55,6,13,5,73539.45,23824.09,1890.98,0
17384,2057,28,1,3,2,2,0,4,0,3,0,-37.0201,144.9646,1,108,1,16,5,132714.06,59841.444,27126.77,0
7512,4701,46,1,0,1,3,1,5,3,2,0,-37.0201,144.9646,1,27,4,26,5,84164.8,45706.72,1749.02,0
2688,10,32,0,1,1,3,2,5,1,7,0,-31.840233,145.612793,1,3,3,5,2,73827.19,42587.24,5636.92,0
5186,2132,18,1,1,1,2,1,6,1,1,0,-20.917574,142.702789,0,72,10,23,2,135586.41,91539.67,8765.6,1
10206,3882,39,0,0,1,3,0,4,3,5,1,-37.0201,144.9646,1,17,5,6,1,58818.24,35177.33,5514.66,0
8352,3379,32,0,3,0,3,4,1,2,3,2,-25.042261,117.793221,1,65,11,18,5,23521.53,15858.68,2173.96,0
17319,4931,18,0,2,0,2,1,4,0,1,0,-35.473469,149.012375,1,27,10,31,4,63479.88,41913.252,16523.71,0
3958,2344,43,1,3,0,3,4,0,3,0,1,-37.0201,144.9646,1,18,12,13,5,87174.54,67460.82,4446.86,0
915,2334,52,1,3,1,3,3,1,3,1,1,-20.917574,142.702789,0,80,10,13,0,65600.23,39500.33,77.54,1
9742,1078,30,0,3,0,2,0,1,1,7,0,-25.042261,117.793221,1,110,9,24,2,116632.87,78473.93,14857.72,0
4511,418,50,0,3,0,2,0,5,3,6,1,-37.0201,144.9646,1,55,11,20,2,80923.88,57337.42,3314.26,0
1374,2031,-1,1,3,0,2,0,3,3,0,0,-41.640079,146.315918,1,34,5,22,2,26088.42,14988.63,2406.26,0
10460,2882,48,0,3,1,3,4,4,3,1,0,-31.840233,145.612793,1,94,10,2,4,75369.95,30721.58,2331.16,1
11039,1483,50,0,3,0,0,1,3,3,5,0,-31.840233,145.612793,1,48,12,14,2,62189.18,25646.64,17194.16,0
13084,3647,-1,1,3,1,2,3,1,3,7,2,-35.473469,149.012375,1,7,11,18,4,99819.89,37622.12,5962.56,1
17712,1211,28,0,0,1,3,1,4,1,5,0,-31.840233,145.612793,1,64,6,8,5,89020.1,45567.088,1154.15,0
12615,4504,51,1,1,1,2,0,2,0,1,0,-31.840233,145.612793,1,68,8,25,4,96239.76,72885.51,13462.7,0
17071,1465,28,1,3,0,3,1,3,3,2,1,-20.917574,142.702789,1,95,12,24,2,44196.64,20304.964,2338.85,0
14793,2654,31,1,0,0,2,2,4,0,3,1,-20.917574,142.702789,1,16,2,24,4,72515.21,53558.636,682.91,0
6572,4882,41,1,2,1,2,0,5,3,2,0,-31.840233,145.612793,1,66,6,9,2,39728.73,24247.69,4130.1,0
11878,2391,36,0,3,1,2,2,4,3,5,1,-31.840233,145.612793,1,57,5,31,2,83792.92,29021.67,33273.34,0
537,4756,-1,0,3,1,3,1,2,3,2,1,-20.917574,142.702789,1,27,11,18,0,94556.36,50555.81,12504.32,0
10712,1639,-1,0,3,0,0,1,0,3,1,0,-41.640079,146.315918,1,8,11,17,2,56790.7,29870.4,1917.1,0
12397,1389,28,1,1,1,2,4,0,0,0,0,-31.840233,145.612793,1,62,7,15,2,93565.48,30483.18,5342.02,0
5215,2221,36,0,3,0,2,1,0,3,5,1,-20.917574,142.702789,1,52,12,13,5,100540.85,49337.05,5848.42,1
15190,1993,27,0,0,0,3,1,2,3,6,0,-41.640079,146.315918,1,105,7,21,2,62940.39,24423.644,14279.17,0
15038,688,29,0,1,1,2,1,5,1,1,1,-25.042261,117.793221,1,95,10,4,2,78935.75,26988.076,2038.91,0
16331,3130,34,0,1,0,3,4,5,3,6,0,-37.0201,144.9646,1,49,7,25,2,78476.8,53541.304,4693.01,1
17403,180,35,1,1,1,3,3,4,0,0,0,-31.840233,145.612793,1,42,11,28,5,124855.28,66873.76,5435.46,0
9808,378,41,0,3,0,3,2,5,3,3,0,-31.840233,145.612793,1,80,11,27,2,58620.06,39326.07,11008.7,0
12590,2315,31,0,3,0,3,1,7,3,7,1,-25.042261,117.793221,1,6,12,30,5,70090.35,49408.28,21283.76,0
2186,4666,-1,1,3,2,2,0,6,0,3,1,-37.0201,144.9646,1,26,4,20,1,70486.11,25187.14,6067.92,0
13240,1955,44,2,1,1,3,2,3,0,6,0,-37.0201,144.9646,1,112,10,9,2,40968.3,25277.64,4486.16,0
16323,4361,44,1,3,1,2,1,7,1,6,1,-20.917574,142.702789,1,107,5,5,5,72238.44,48609.352,6813.78,0
8606,2625,-1,1,1,1,3,3,3,2,2,0,-35.473469,149.012375,0,28,11,13,1,71740.1,42957.44,15682.98,1
12959,4363,19,0,2,2,2,3,1,2,3,1,-31.840233,145.612793,1,103,9,29,4,78880.96,24369.88,16639.32,0
11545,103,21,0,1,0,2,3,2,2,3,0,-30.000233,136.209152,1,99,4,27,2,57384.51,40721.71,21639.04,1
1432,4635,42,1,1,3,3,2,3,2,3,0,-20.917574,142.702789,1,98,12,2,4,30528.11,22169.73,220.12,1
17484,2033,41,1,1,0,3,2,4,3,2,0,-31.840233,145.612793,0,94,7,7,2,50601.21,22016.928,5835.35,0
16421,3070,19,0,3,1,3,4,5,1,7,1,-35.473469,149.012375,1,85,7,8,2,62759.76,37163.16,4600.29,0
12305,1285,18,0,3,1,3,2,4,3,2,0,-37.0201,144.9646,0,109,9,5,4,111914.84,46861.04,5652.26,0
2752,1267,55,1,3,2,1,4,7,3,5,0,-37.0201,144.9646,0,117,9,5,4,34128.07,22746.13,2602.28,0
6270,4418,-1,2,3,1,2,1,3,3,0,0,-37.0201,144.9646,0,65,11,4,2,37967.02,16299.74,1272.76,0
332,2819,34,1,3,1,3,3,5,2,3,0,-20.917574,142.702789,1,61,2,8,0,76955.0,23468.76,902.36,0
3030,115,-1,0,2,0,2,0,6,0,7,0,-31.840233,145.612793,1,105,9,21,5,86292.53,52375.69,2722.32,0
2102,3787,27,0,1,1,2,3,0,0,0,1,-31.840233,145.612793,1,18,11,29,4,121552.99,55573.07,5794.4,0
1362,3125,23,1,1,0,2,0,0,1,3,1,-25.042261,117.793221,1,88,5,24,5,70276.22,24424.34,5492.46,0
306,3533,43,1,3,0,3,1,1,3,7,1,-31.840233,145.612793,1,111,12,27,1,85854.75,42984.6,4259.12,0
14302,4352,35,0,3,0,2,0,6,2,3,1,-31.840233,145.612793,1,8,10,17,4,84687.96,32395.98,9107.96,0
7145,1335,36,0,3,0,3,4,2,2,4,0,-20.917574,142.702789,1,6,10,13,2,77443.2,40882.0,14398.08,1
7330,81,-1,0,3,2,2,3,0,3,0,0,-37.0201,144.9646,1,113,6,17,5,83358.57,34649.64,7922.9,0
3891,1114,-1,2,2,0,3,4,0,3,3,2,-37.0201,144.9646,0,63,10,22,5,69271.9,24202.02,10007.84,0
5652,1904,47,2,1,0,2,0,2,2,7,0,-35.473469,149.012375,1,18,8,31,1,52655.75,29975.19,7396.84,1
10402,4164,33,0,3,0,3,1,5,0,1,0,-37.0201,144.9646,1,69,9,29,4,75243.95,46274.25,6112.42,0
1995,2250,-1,0,3,0,3,4,6,3,0,0,-25.042261,117.793221,1,65,12,29,5,81153.05,36558.46,669.68,0
2952,816,18,0,0,1,2,3,3,1,1,0,-31.840233,145.612793,1,13,11,17,2,92306.98,62523.62,14099.38,0
14806,2234,50,0,3,0,3,2,7,3,4,1,-25.042261,117.793221,1,54,6,26,2,85506.26,32201.14,13238.42,0
9881,3369,36,1,1,0,3,2,2,2,1,2,-20.917574,142.702789,1,99,8,27,2,84724.52,38765.95,5012.62,1
17147,1717,36,1,3,2,3,1,4,3,7,0,-31.840233,145.612793,1,94,2,11,5,70965.18,50408.956,5919.06,0
5403,2764,36,0,3,0,2,0,4,3,3,1,-30.000233,136.209152,0,103,8,29,5,18302.79,6206.25,1807.6,0
10599,2070,43,1,1,3,2,4,1,0,0,0,-20.917574,142.702789,1,109,11,21,5,55775.04,44355.3,10959.72,1
8364,4941,42,1,3,0,1,0,7,3,5,1,-20.917574,142.702789,0,118,7,4,5,78348.5,56512.61,43.22,0
5292,1969,50,0,0,0,3,4,2,0,2,1,-37.0201,144.9646,1,59,12,1,4,45967.53,34216.26,8719.44,0
15100,2021,33,0,3,0,3,2,1,3,6,0,-41.640079,146.315918,1,67,4,2,5,37902.13,12644.896,3230.51,1
17667,1731,38,0,0,1,3,1,4,3,3,0,-25.042261,117.793221,1,78,10,16,5,48351.05,38198.94,4938.79,0
16982,361,50,0,3,3,3,1,2,2,6,0,-37.0201,144.9646,0,112,12,3,2,129013.48,83396.912,34562.55,1
7408,434,32,1,2,0,3,4,0,1,4,0,-31.840233,145.612793,0,67,11,23,2,55167.16,18380.59,5733.12,0
4925,2107,37,2,3,0,0,0,3,3,7,0,-31.840233,145.612793,0,58,11,9,3,126661.66,85538.59,20988.46,0
9815,188,34,1,0,1,3,1,0,3,0,0,-31.840233,145.612793,0,16,9,18,2,82038.5,47070.12,8512.04,1
6244,159,-1,0,0,0,3,2,1,0,7,2,-37.0201,144.9646,0,32,3,21,5,126075.79,51439.85,18013.84,0
18031,3726,49,1,2,1,1,4,1,3,4,1,-25.042261,117.793221,1,112,12,28,2,44867.26,18271.592,3410.14,0
8513,4354,32,0,1,0,2,4,1,0,1,0,-31.840233,145.612793,0,32,8,9,4,83709.16,64429.76,7150.28,0
8310,2317,24,0,1,2,3,1,7,0,7,0,-31.840233,145.612793,1,56,10,16,2,92493.99,52814.29,1696.28,1
16981,2702,39,1,1,0,2,2,7,0,5,0,-20.917574,142.702789,1,45,12,8,4,35203.77,25372.832,1447.14,0
2447,4505,-1,0,2,1,3,4,2,3,5,0,-20.917574,142.702789,0,19,9,3,2,84475.87,64293.0,6955.96,0
16079,1614,28,1,1,1,2,2,5,1,5,2,-37.0201,144.9646,0,85,3,31,2,37937.14,23570.24,2537.63,1
3573,4234,-1,0,0,0,3,4,0,3,7,1,-31.840233,145.612793,0,27,12,29,2,98214.94,53090.28,27809.6,0
11773,2275,-1,1,0,2,2,0,3,2,2,1,-37.0201,144.9646,0,113,8,22,2,30892.63,19831.98,1744.12,1
10470,3527,30,0,3,1,0,1,1,3,3,2,-31.840233,145.612793,1,52,5,29,2,30512.07,10875.43,919.16,0
15731,2295,31,0,3,3,3,2,3,3,2,0,-20.917574,142.702789,0,62,10,27,2,60395.1,46703.564,1084.33,0
1115,4032,39,0,3,1,2,1,0,1,3,0,-31.840233,145.612793,0,85,12,18,2,42220.02,17591.27,4780.7,0
12024,1839,38,0,1,1,3,0,3,0,3,0,-31.840233,145.612793,1,68,12,25,5,115290.86,57400.69,2597.88,0
16159,3083,35,1,3,0,2,1,6,2,4,1,-25.042261,117.793221,1,89,5,17,2,24716.72,13298.584,6300.48,1
12445,408,49,0,3,1,0,0,1,3,1,0,-31.840233,145.612793,1,59,5,10,2,147097.61,96066.53,7499.9,1
3466,2908,-1,1,3,2,3,0,3,3,6,0,-20.917574,142.702789,1,80,5,22,2,48514.74,18615.11,444.44,1
5145,3871,25,1,3,0,2,2,4,1,3,1,-37.0201,144.9646,1,76,8,24,4,33628.78,19020.93,3059.42,0
8079,2719,33,0,3,1,3,1,7,2,4,1,-25.042261,117.793221,1,27,9,27,1,34311.88,18472.76,284.24,1
13048,3125,23,1,1,0,2,0,5,3,7,0,-25.042261,117.793221,1,88,5,24,5,70276.22,24424.34,5492.46,1
4339,698,35,0,1,0,1,4,1,3,1,0,-31.840233,145.612793,1,107,5,11,5,55141.54,43092.51,11218.32,1
10205,728,21,2,1,0,2,2,6,3,7,2,-31.840233,145.612793,1,29,12,30,0,87555.74,35503.36,5181.4,0
8813,4921,28,1,1,0,2,2,2,3,6,0,-31.840233,145.612793,1,58,11,14,2,123034.58,53862.68,17707.78,1
7061,4004,31,0,3,1,3,2,3,2,5,2,-31.840233,145.612793,0,62,4,23,4,118837.87,35695.35,23539.32,1
13289,54,26,1,3,1,2,3,3,3,3,1,-37.0201,144.9646,0,76,5,16,1,37147.68,22553.66,975.44,0
10950,2398,34,0,3,2,2,0,6,2,4,2,-37.0201,144.9646,1,116,12,22,2,46932.04,27346.78,2096.56,1
7388,3290,35,0,3,1,3,3,7,3,0,2,-37.0201,144.9646,1,71,7,24,2,38806.94,14110.38,2229.72,0
12353,3240,40,1,0,1,0,4,5,0,3,1,-25.042261,117.793221,1,86,12,15,0,40833.58,24272.77,3205.24,0
5070,2914,34,0,1,1,3,4,6,3,1,0,-31.840233,145.612793,0,4,9,20,2,56727.2,29659.41,11337.18,1
5825,4545,35,1,3,1,2,1,3,3,2,1,-20.917574,142.702789,0,75,12,14,2,66317.82,43324.6,6500.5,1
9357,1791,34,0,0,1,3,1,7,0,7,1,-20.917574,142.702789,1,88,10,8,4,81400.22,57117.17,2066.86,1
10778,2464,-1,2,2,0,2,4,6,3,5,1,-35.473469,149.012375,1,71,1,13,2,39071.11,28667.78,2763.74,0
11772,3726,49,1,2,1,1,4,3,3,0,0,-25.042261,117.793221,1,112,12,18,2,44867.26,18344.97,3478.34,0
15612,804,39,0,1,1,1,3,2,1,3,0,-19.491411,132.550964,1,67,10,15,4,76706.38,59231.632,12999.3,0
9443,420,28,1,1,1,2,2,7,3,1,1,-31.840233,145.612793,0,97,11,21,2,77734.81,37710.48,7652.78,0
15804,574,51,0,3,1,2,3,1,2,0,1,-20.917574,142.702789,1,77,12,6,5,86809.84,65747.436,4971.95,1
10389,3512,18,1,3,1,3,0,7,0,2,1,-31.840233,145.612793,0,25,10,26,5,155199.89,122061.63,12980.2,0
5383,2515,18,1,3,1,2,3,7,3,3,0,-31.840233,145.612793,1,57,1,20,4,78632.75,55730.7,3200.1,0
6769,4976,27,0,2,0,2,1,4,3,3,0,-25.042261,117.793221,1,6,2,6,5,67484.59,29461.69,1515.34,0
134,630,-1,0,3,0,2,2,6,3,5,0,-25.042261,117.793221,1,118,11,5,4,33147.62,17387.2,3397.3,0
10931,2898,18,1,1,1,3,1,1,2,3,0,-30.000233,136.209152,1,63,5,23,4,49711.46,23490.62,3664.96,0
10924,4922,46,1,3,0,2,2,2,1,7,0,-31.840233,145.612793,1,99,10,2,2,72968.32,22114.52,3665.94,0
12821,3832,47,1,1,0,0,3,5,0,5,2,-37.0201,144.9646,1,95,12,26,4,66370.25,38464.21,11648.8,0
7025,4406,30,0,1,0,2,0,4,1,7,0,-37.0201,144.9646,1,113,7,18,5,43450.97,17077.37,124.76,1
18219,3951,33,1,3,2,3,3,3,3,5,0,-31.840233,145.612793,0,18,2,12,4,142732.26,111641.004,712.07,1
8687,3167,25,1,3,3,2,0,1,2,4,1,-30.000233,136.209152,1,1,11,30,5,49041.99,20668.03,3254.42,1
799,3208,41,1,3,0,2,2,4,3,7,1,-37.0201,144.9646,0,74,11,16,1,70010.13,25398.23,525.32,0
17032,2454,43,1,3,0,0,3,4,3,1,0,-37.0201,144.9646,1,11,1,30,4,37524.19,15506.236,2855.98,0
9995,3193,-1,0,3,1,2,0,3,3,1,1,-37.0201,144.9646,0,48,8,23,5,44663.69,31313.63,2316.74,0
6840,3624,38,0,3,1,2,4,2,3,6,0,-20.917574,142.702789,1,9,7,29,2,134449.36,43085.52,3164.22,0
427,2815,37,1,3,3,2,4,6,0,7,0,-37.0201,144.9646,0,89,11,28,4,68299.23,41420.19,3131.24,0
12884,2685,26,0,2,0,3,2,7,3,3,0,-20.917574,142.702789,1,83,8,30,4,148736.96,91469.96,9805.6,0
14409,1534,36,0,3,1,2,1,3,2,7,0,-30.000233,136.209152,1,98,8,10,4,72788.07,43542.64,279.78,1
4687,3611,-1,0,3,0,3,3,3,2,5,1,-30.000233,136.209152,1,17,12,21,0,41703.3,20734.79,497.2,1
10497,3399,43,0,3,0,2,3,1,1,2,2,-20.917574,142.702789,1,117,2,4,0,43879.48,24587.08,1867.58,0
16572,3206,28,0,3,2,0,3,5,0,1,0,-20.917574,142.702789,1,89,6,19,4,59359.54,41686.464,5707.33,0
16465,1426,42,0,1,1,2,3,0,1,4,0,-37.0201,144.9646,0,74,7,1,2,62223.32,25479.524,5248.79,0
2538,4498,-1,1,2,0,2,3,6,2,3,0,-37.0201,144.9646,1,66,8,3,4,80648.58,51252.91,13176.14,1
